mz,intensity,rel.intensity,theo.mass,delta,rdb,composition
691.5580682,843951.1,0.96,691.5588381,1.113166127,9.5,C46 H76 O2 P
692.5057694,183361.7,0.21,692.5048144,1.37906424,15.5,C47 H66 O3 N
692.5613694,240262.6,0.27,692.5623292,1.385871467,9.5,C45 H74 O4 N
693.5090706,259192.4,0.29,693.5099593,1.281515124,10.5,C44 H69 O6
693.5178706,277873,0.31,693.5185126,0.925772653,6,C40 H71 O8 N
693.5645706,234184.4,0.27,,,,
693.6151707,484010.2,0.55,,,,
694.4665717,2486000.3,2.81,694.4664538,0.169800044,2.5,C35 H69 O10 N P
694.6181719,200572.5,0.23,,,,
695.4699729,763360.9,0.86,695.4707746,1.152699573,20,C49 H61 O2 N
695.515873,197936.4,0.22,695.5149982,1.257744059,0.5,C37 H77 O7 P2
695.6308731,217380.8,0.25,,,,
698.4718765,181491,0.21,698.4707513,1.610904641,14.5,C45 H65 O3 N P
698.5130765,1489632.9,1.69,698.5130101,0.095180308,4.5,C39 H73 O7 N P
699.4794777,223552.2,0.25,699.4785764,1.288591286,14,C45 H66 O3 N P
699.4971777,363215.2,0.41,699.4970256,0.21740975,4.5,C39 H72 O8 P
699.5164777,562692.1,0.64,699.5149619,2.167036893,13,C46 H70 O2 N P
700.528779,4685005,5.3,700.5286601,0.169626767,3.5,C39 H75 O7 N P
701.5131801,481963.3,0.55,701.5129868,0.275578667,-1,C35 H77 O8 N P2
701.5239801,480292,0.54,701.523598,0.544735135,8,C42 H71 O7 N
701.5319801,1970306.5,2.23,701.5306119,1.950333779,12,C46 H72 O2 N P
701.5605802,340798.1,0.39,701.5599835,0.850502657,7,C43 H75 O6 N
702.4891813,215470.1,0.24,702.4891643,0.024202219,17.5,C48 H64 O3 N
702.5074813,474537.4,0.54,702.5076136,0.188272927,8,C42 H70 O8
702.5265813,316121.6,0.36,702.5275147,1.328537191,7,C43 H76 O3 P2
702.5354813,1037242.8,1.17,702.5357569,0.392194494,7,C43 H75 O5 P
702.5442814,688155.1,0.78,702.5443102,0.041033804,2.5,C39 H77 O7 N P
703.4280824,300802.8,0.34,703.4277226,0.511587397,1,C32 H66 O13 N P
703.5032825,1008265.4,1.14,703.5028626,0.596947271,8,C41 H69 O8 N
703.5389825,1285940.1,1.46,703.5392481,0.37739534,7,C42 H73 O7 N
703.7336828,523767.4,0.59,703.7337517,0.097887173,1.5,C48 H95 O2
704.5064837,380986.9,0.43,704.5067792,0.419474307,7,C42 H74 O4 P2
704.5231837,482237.8,0.55,704.5232636,0.113437569,7,C42 H72 O8
704.5422837,815066.6,0.92,704.5431647,1.250441554,6,C43 H78 O3 P2
704.5508838,236826.3,0.27,704.5514069,0.74258251,6,C43 H77 O5 P
704.5778838,569191,0.64,704.5795502,2.365183189,5,C44 H82 O2 P2
704.737184,208063.3,0.24,,,,
705.5177849,247751.3,0.28,705.5185126,1.031445758,7,C41 H71 O8 N
